ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	IPA	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
1343	Bru-Talan	oog	to hear		cʰaŋ	cʰ a ŋ	T a N	K V N	C A N	9	2873
1344	Bru-Ubon	bru	to hear		sɔŋ	s ɔ ŋ	s o N	S V N	S U N	9	2873
1345	Khmer-Surin	kxm	to hear		lɯː	l ɯː	l u	R V	L I	16	2854
1346	Khmer-Standard	khm	to hear		lɨː	l ɨː	l I	R V	L I	16	2854
1347	Mon	mnw	to hear		moɲ	m o ɲ	m o H	M V N	M U N	24	2859
1348	Vietnamese	vie	to hear		nghe	n g h e	n g h e	N K H V	N K H E	43	2869
1349	Bahnar-Golar	bdq	to hide/conceal -tr.		kədəp	k ə d ə p	k I d I p	K V T V P	K E T E P	10	2874
1350	Bahnar-Kontum	bdq	to hide/conceal -tr.		kədəp	k ə d ə p	k I d I p	K V T V P	K E T E P	10	2874
1351	Bahnar-Pleiku	bdq	to hide/conceal -tr.		kədəp	k ə d ə p	k I d I p	K V T V P	K E T E P	10	2874
1352	Bru-Talan	oog	to hide/conceal -tr.		həŋkreʔ	h ə ŋ k r e ʔ	h I N k r e 7	H V N K R V H	H E N K R E H	15	2879
1353	Bru-Ubon	bru	to hide/conceal -tr.		pətʉ̤ʔ	p ə t ʉ̤ ʔ	p I t I 7	P V T V H	P E T Y H	12	2876
1354	Khmer-Standard	khm	to hide/conceal -tr.		bɑmpuən	b ɑ m p uə n	b o m p u n	P V M P V N	P A M P Y N	27	2887
1355	Mon	mnw	to hide/conceal -tr.		kròp	k r ò p	k r o p	K R V P	K R U P	35	2893
1356	Vietnamese	vie	to hide/conceal -tr.		nấp	n a p	n a p	N V P	N A P	10	2874
1357	Bahnar-Golar	bdq	to hunt		həŋwaːŋ	h ə ŋ w aː ŋ	h I N w a N	H V N W V N	H E N W A N	8	2950
1358	Bahnar-Kontum	bdq	to hunt		həŋwaːŋ	h ə ŋ w aː ŋ	h I N w a N	H V N W V N	H E N W A N	8	2950
1359	Bahnar-Pleiku	bdq	to hunt		həŋwaːŋ	h ə ŋ w aː ŋ	h I N w a N	H V N W V N	H E N W A N	8	2950
1360	Bru-Talan	oog	to hunt		pɔˀɔʔpɛɲ	pɔˀɔʔ pɛɲ	p p	P P	P P	19	2917
1361	Bru-Ubon	bru	to hunt		pṳaj	p ṳa j	p i y	P V J	P Y J	20	2918
1362	Khmer-Standard	khm	to hunt		dəɲ	d ə ɲ	d I H	T V N	T E N	28	2925
1363	Mon	mnw	to hunt		klàɛ	k l àɛ	k l a	K R V	K L A	37	2931
1364	Vietnamese	vie	to hunt		đisăn	đi săn	8 s	T S	D S	65	2947
1365	Bahnar-Golar	bdq	to itch/itchy		dədiːk	d ə d iː k	d I d i k	T V T V K	T E T I K	8	2972
1366	Bahnar-Kontum	bdq	to itch/itchy		səsɛːk	s ə s ɛː k	s I s E k	S V S V K	S E S E K	9	2973
1367	Bahnar-Pleiku	bdq	to itch/itchy		səsɛːk	s ə s ɛː k	s I s E k	S V S V K	S E S E K	9	2973
1368	Bru-Talan	oog	to itch/itchy		cʰɔːjʔ	cʰ ɔː j ʔ	T o y 7	K V J H	C U J H	17	2958
1369	Bru-Ubon	bru	to itch/itchy		piːh	p iː h	p i h	P V H	P I H	18	2959
1370	Khmer-Surin	kxm	to itch/itchy		rmɯah	r m ɯa h	r m u h	R M V H	R M I H	20	2961
1371	Khmer-Standard	khm	to itch/itchy		rɔmoah	r ɔ m oa h	r o m o h	R V M V H	R U M U H	20	2961
1372	Mon	mnw	to itch/itchy		hnok	h n o k	h n o k	H N V K	H N U K	17	2958
1373	Vietnamese	vie	to itch/itchy		ngứa	n g u a	n g u a	N K V V	N K Y A	21	2962
1374	Bahnar-Golar	bdq	to kick		kədah	k ə d a h	k I d a h	K V T V H	K E T A H	9	3009
1375	Bahnar-Kontum	bdq	to kick		kədah	k ə d a h	k I d a h	K V T V H	K E T A H	9	3009
1376	Bahnar-Pleiku	bdq	to kick		kədah	k ə d a h	k I d a h	K V T V H	K E T A H	9	3009
1377	Bru-Talan	oog	to kick		kədeːn	k ə d eː n	k I d e n	K V T V N	K E T E N	15	2979
1378	Bru-Ubon	bru	to kick		teːʔ	t eː ʔ	t e 7	T V H	T E H	17	2981
1379	Khmer-Surin	kxm	to kick		tɯat	t ɯa t	t u t	T V T	T I T	3	2994
1380	Khmer-Standard	khm	to kick		tɔ̀ət	t ɔ̀ə t	t o t	T V T	T U T	3	2994
1381	Mon	mnw	to kick		peh	p e h	p e h	P V H	P E H	12	2976
1382	Vietnamese	vie	to kick		đáhậu	đá hậu	8 h	T H	D H	54	3008
1383	Bahnar-Golar	bdq	to kill		pəloːc	p ə l oː c	p I l o T	P V R V K	P E L U C	5	3020
1384	Bahnar-Kontum	bdq	to kill		pəloːc	p ə l oː c	p I l o T	P V R V K	P E L U C	5	3020
1385	Bahnar-Pleiku	bdq	to kill		pəloːc	p ə l oː c	p I l o T	P V R V K	P E L U C	5	3020
1386	Bru-Talan	oog	to kill		kəɲceːt	k ə ɲ c eː t	k I H T e t	K V N K V T	K E N C E T	4	3019
1387	Bru-Ubon	bru	to kill		kəciːt	k ə c iː t	k I T i t	K V K V T	K E C I T	4	3019
1388	Khmer-Surin	kxm	to kill		sanlap	s a n l a p	s a n l a p	S V N R V P	S A N L A P	15	3013
1389	Khmer-Standard	khm	to kill		sɑmlap	s ɑ m l a p	s o m l a p	S V M R V P	S A M L A P	15	3013
1390	Mon	mnw	to kill		hacɑt	h a c ɑ t	h a T o t	H V K V T	H A C A T	4	3019
1391	Vietnamese	vie	to kill		giết	g i e t	g i e t	K V V T	K I E T	4	3019
1392	Bahnar-Kontum	bdq	to know		ləlɛʔ	l ə l ɛ ʔ	l I l E 7	R V R V H	L E L E H	10	3024
1393	Bahnar-Pleiku	bdq	to know		bat	b a t	b a t	P V T	P A T	11	3025
1394	Bru-Talan	oog	to know		hɔːj	h ɔː j	h o y	H V J	H U J	22	3034
1395	Bru-Ubon	bru	to know		daŋ	d a ŋ	d a N	T V N	T A N	21	3033
1396	Khmer-Surin	kxm	to know		skɯal	s k ɯa l	s k u l	S K V R	S K I L	28	3039
1397	Khmer-Standard	khm	to know		dɤŋ	d ɤ ŋ	d o N	T V N	T E N	29	3040
1398	Mon	mnw	to know		tɛm	t ɛ m	t E m	T V M	T E M	35	3045
1399	Bahnar-Golar	bdq	to laugh		hjɛk	h j ɛ k	h y E k	H J V K	H J E K	4	3079
1400	Bahnar-Pleiku	bdq	to laugh		hjɛk	h j ɛ k	h y E k	H J V K	H J E K	4	3079
1401	Bru-Talan	oog	to laugh		kəcaŋʔ	k ə c a ŋ ʔ	k I T a N 7	K V K V N H	K E C A N H	11	3060
1402	Bru-Ubon	bru	to laugh		kərcaŋrəwiəj	kərcaŋ rəwiəj	k r	K R	K R	11	3060
1403	Khmer-Surin	kxm	to laugh		sʌːc	s ʌː c	s o T	S V K	S E C	15	3063
1404	Khmer-Standard	khm	to laugh		haʔset	h a ʔ s e t	h a 7 s e t	H V H S V T	H A H S E T	16	3064
1405	Mon	mnw	to laugh		kràŋ	k r à ŋ	k r a N	K R V N	K R A N	21	3069
1406	Vietnamese	vie	to laugh		cưởi	c u o i	T u o i	K V V V	C Y U I	35	3078
1407	Bahnar-Golar	bdq	to lick		ljah	l j a h	l y a h	R J V H	L J A H	5	3098
1408	Bahnar-Kontum	bdq	to lick		ljah	l j a h	l y a h	R J V H	L J A H	5	3098
1409	Bahnar-Pleiku	bdq	to lick		ljah	l j a h	l y a h	R J V H	L J A H	5	3098
1410	Bru-Talan	oog	to lick		dɛˀɛl	d ɛˀɛ l	d E l	T V R	T E L	14	3087
1411	Bru-Ubon	bru	to lick		li̤ǝt	l i̤ǝ t	l i t	R V T	L I T	13	3086
1412	Khmer-Surin	kxm	to lick		lit	l i t	l i t	R V T	L I T	13	3086
1413	Khmer-Standard	khm	to lick		lɨt	l ɨ t	l I t	R V T	L I T	13	3086
1414	Mon	mnw	to lick		klan	k l a n	k l a n	K R V N	K L A N	21	3094
1415	Vietnamese	vie	to lick		liếm	l i e m	l i e m	R V V M	L I E M	31	3097
1416	Bahnar-Golar	bdq	to rub/wipe		suːt	s uː t	s u t	S V T	S Y T	7	3138
1417	Bahnar-Kontum	bdq	to rub/wipe		suːt	s uː t	s u t	S V T	S Y T	7	3138
1418	Bahnar-Pleiku	bdq	to rub/wipe		suːt	s uː t	s u t	S V T	S Y T	7	3138
1419	Bru-Talan	oog	to rub/wipe		kərcuːt	k ə r c uː t	k I r T u t	K V R K V T	K E R C Y T	5	3131
1420	Bru-Ubon	bru	to rub/wipe		cəcṳːt	c ə c ṳː t	T I T i t	K V K V T	C E C Y T	5	3131
1421	Khmer-Surin	kxm	to rub/wipe		ʨuːt	ʨ uː t	C u t	K V T	C Y T	5	3131
1422	Khmer-Standard	khm	to rub/wipe		cuːt	c uː t	T u t	K V T	C Y T	5	3131
1423	Mon	mnw	to rub/wipe		cə̀t	c ə̀ t	T I t	K V T	C E T	5	3131
1424	Bahnar-Golar	bdq	to say/speak		khaːn	k h aː n	k h a n	K H V N	K H A N	17	3146
1425	Bahnar-Kontum	bdq	to say/speak		khaːn	k h aː n	k h a n	K H V N	K H A N	17	3146
1426	Bahnar-Pleiku	bdq	to say/speak		khaːn	k h aː n	k h a n	K H V N	K H A N	17	3146
1427	Bru-Talan	oog	to say/speak		ntruajʔ	n t r ua j ʔ	n t r u y 7	N T R V J H	N T R Y J H	38	3160
1428	Bru-Ubon	bru	to say/speak		paːj	p aː j	p a y	P V J	P A J	39	3161
1429	Khmer-Surin	kxm	to say/speak		ɲjɛj	ɲ j ɛ j	H y E y	N J V J	N J E J	21	3150
1430	Khmer-Standard	khm	to say/speak		tʰaː	tʰ aː	t a	T V	T A	54	3175
1431	Mon	mnw	to say/speak		hɑm	h ɑ m	h o m	H V M	H A M	68	3186
1432	Vietnamese	vie	to say/speak		nói	n ó i	n o i	N V V	N U I	105	3141
1433	Bahnar-Golar	bdq	to scratch/scrape		kojh	k o j h	k o y h	K V J H	K U J H	6	3236
1434	Bahnar-Kontum	bdq	to scratch/scrape		kojh	k o j h	k o y h	K V J H	K U J H	6	3236
1435	Bahnar-Pleiku	bdq	to scratch/scrape		kojh	k o j h	k o y h	K V J H	K U J H	6	3236
1436	Bru-Talan	oog	to scratch/scrape		ŋkaˀar	ŋ k aˀa r	N k a r	N K V R	N K A R	14	3208
1437	Bru-Ubon	bru	to scratch/scrape		kəpiac	k ə p ia c	k I p i T	K V P V K	K E P I C	16	3210
1438	Khmer-Surin	kxm	to scratch/scrape		Ɂɛh	Ɂ ɛ h	7 E h	H V H	H E H	23	3217
1439	Khmer-Standard	khm	to scratch/scrape		kaoh	k ao h	k a h	K V H	K A H	6	3236
1440	Mon	mnw	to scratch/scrape		kah	k a h	k a h	K V H	K A H	29	3222
1441	Vietnamese	vie	to scratch/scrape		gãi	g ãi	g a	K V	K A	47	3234
1442	Bahnar-Golar	bdq	to see		ɓoh	ɓ o h	b o h	P V H	P U H	10	3240
1443	Bahnar-Kontum	bdq	to see		ɓoh	ɓ o h	b o h	P V H	P U H	10	3240
1444	Bahnar-Pleiku	bdq	to see		ɓoh	ɓ o h	b o h	P V H	P U H	10	3240
1445	Bru-Talan	oog	to see		hɔːm	h ɔː m	h o m	H V M	H U M	21	3248
1446	Bru-Ubon	bru	to see		həːm	h əː m	h I m	H V M	H E M	21	3248
1447	Khmer-Surin	kxm	to see		mɤː	m ɤː	m o	M V	M E	29	3256
1448	Khmer-Standard	khm	to see		məːl	m əː l	m I l	M V R	M E L	29	3256
1449	Mon	mnw	to see		pə̀	p ə̀	p I	P V	P E	38	3262
1450	Bahnar-Golar	bdq	to sell		tɛc	t ɛ c	t E T	T V K	T E C	2	3283
1451	Bahnar-Kontum	bdq	to sell		tɛc	t ɛ c	t E T	T V K	T E C	2	3283
1452	Bahnar-Pleiku	bdq	to sell		tɛc	t ɛ c	t E T	T V K	T E C	2	3283
1453	Bru-Talan	oog	to sell		tɛc	t ɛ c	t E T	T V K	T E C	2	3283
1454	Bru-Ubon	bru	to sell		ceʔ	c e ʔ	T e 7	K V H	C E H	6	3292
1455	Khmer-Surin	kxm	to sell		luaɁ	l ua Ɂ	l u 7	R V H	L Y H	9	3295
1456	Khmer-Standard	khm	to sell		lùəʔ	l u ə ʔ	l u I 7	R V V H	L Y E H	9	3295
1457	Mon	mnw	to sell		sɑʔ	s ɑ ʔ	s o 7	S V H	S A H	16	3280
1458	Vietnamese	vie	to sell		bán	b á n	b a n	P V N	P A N	27	3289
1459	Bahnar-Golar	bdq	to sew		sit	s i t	s i t	S V T	S I T	6	3310
1460	Bahnar-Kontum	bdq	to sew		sit	s i t	s i t	S V T	S I T	6	3310
1461	Bahnar-Pleiku	bdq	to sew		sit	s i t	s i t	S V T	S I T	6	3310
1462	Bru-Talan	oog	to sew		jeːh	j eː h	y e h	J V H	J E H	8	3311
1463	Bru-Ubon	bru	to sew		jiːh	j iː h	y i h	J V H	J I H	8	3311
1464	Khmer-Surin	kxm	to sew		deːr	d eː r	d e r	T V R	T E R	11	3297
1465	Khmer-Standard	khm	to sew		dej	d e j	d e y	T V J	T E J	11	3297
1466	Mon	mnw	to sew		còɲ	c ò ɲ	T o H	K V N	C U N	5	3309
1467	Vietnamese	vie	to sew		vá	v á	v a	W V	B A	14	3300
1468	Bahnar-Pleiku	bdq	to shoot		prah	p r a h	p r a h	P R V H	P R A H	7	3317
1469	Bru-Talan	oog	to shoot		pɛɲ	p ɛ ɲ	p E H	P V N	P E N	3	3316
1470	Bru-Ubon	bru	to shoot		pan	p a n	p a n	P V N	P A N	3	3316
1471	Khmer-Surin	kxm	to shoot		baɲ	b a ɲ	b a H	P V N	P A N	3	3316
1472	Khmer-Standard	khm	to shoot		baɲ	b a ɲ	b a H	P V N	P A N	3	3316
1473	Mon	mnw	to shoot		pɔn	p ɔ n	p o n	P V N	P U N	3	3316
1474	Vietnamese	vie	to shoot		bắn	b a n	b a n	P V N	P A N	3	3316
1475	Bahnar-Golar	bdq	to sit		ʔwɛːj	ʔ w ɛː j	7 w E y	H W V J	H W E J	8	3343
1476	Bahnar-Kontum	bdq	to sit		ʔwɛːj	ʔ w ɛː j	7 w E y	H W V J	H W E J	8	3343
1477	Bahnar-Pleiku	bdq	to sit		ʔwɛːj	ʔ w ɛː j	7 w E y	H W V J	H W E J	8	3343
1478	Bru-Talan	oog	to sit		təkuː	t ə k uː	t I k u	T V K V	T E K Y	9	3344
1479	Bru-Ubon	bru	to sit		təkṳː	t ə k ṳː	t I k i	T V K V	T E K Y	9	3344
1480	Khmer-Surin	kxm	to sit		ŋkuj	ŋ k u j	N k u y	N K V J	N K Y J	4	3340
1481	Khmer-Standard	khm	to sit		ʔɑŋkuj	ʔ ɑ ŋ k u j	7 o N k u y	H V N K V J	H A N K Y J	4	3340
1482	Mon	mnw	to sit		hacòʔ	h a c ò ʔ	h a T o 7	H V K V H	H A C U H	24	3331
1483	Vietnamese	vie	to sit		ngồi	n g o i	n g o i	N K V V	N K U I	17	3326
1484	Bahnar-Golar	bdq	to sleep/lie down		tɛːp	t ɛː p	t E p	T V P	T E P	6	3363
1485	Bahnar-Kontum	bdq	to sleep/lie down		tɛːp	t ɛː p	t E p	T V P	T E P	6	3363
1486	Bahnar-Pleiku	bdq	to sleep/lie down		tɛːp	t ɛː p	t E p	T V P	T E P	6	3363
1487	Bru-Talan	oog	to sleep/lie down		bicʔeːr	bic ʔeːr	b 7	P H	P H	5	3362
1488	Bru-Ubon	bru	to sleep/lie down		beʔləŋeːt	beʔ ləŋeːt	b l	P R	P L	5	3362
1489	Khmer-Surin	kxm	to sleep/lie down		deːʔluəʔ	deːʔ luəʔ	d l	T R	T L	2	3350
1490	Khmer-Standard	khm	to sleep/lie down		deiʔ	d ei ʔ	d e 7	T V H	T E H	2	3350
1491	Mon	mnw	to sleep/lie down		toc	t o c	t o T	T V K	T U C	20	3351
1492	Vietnamese	vie	to sleep/lie down		ngủ	n g u	n g u	N K V	N K Y	34	3360
1493	Bahnar-Pleiku	bdq	to smell -receive odor		ɓəw	ɓ ə w	b I w	P V W	P E W	6	3388
1494	Bru-Talan	oog	to smell -receive odor		cʰaˀar	cʰ aˀa r	T a r	K V R	C A R	12	3368
1495	Bru-Ubon	bru	to smell -receive odor		huːn	h uː n	h u n	H V N	H Y N	2	3376
1496	Khmer-Surin	kxm	to smell -receive odor		tʰʌːp	tʰ ʌː p	t o p	T V P	T E P	17	3373
1497	Khmer-Standard	khm	to smell -receive odor		hət	h ə t	h I t	H V T	H E T	5	3387
1498	Mon	mnw	to smell -receive odor		cʰəŋ	cʰ ə ŋ	T I N	K V N	C E N	22	3378
1499	Bahnar-Golar	bdq	to spit		kəsɔh	k ə s ɔ h	k I s o h	K V S V H	K E S U H	6	3399
1500	Bahnar-Kontum	bdq	to spit		kəsɔh	k ə s ɔ h	k I s o h	K V S V H	K E S U H	6	3399
1501	Bahnar-Pleiku	bdq	to spit		kəsɔh	k ə s ɔ h	k I s o h	K V S V H	K E S U H	6	3399
1502	Bru-Talan	oog	to spit		kəcoh	k ə c o h	k I T o h	K V K V H	K E C U H	6	3399
1503	Bru-Ubon	bru	to spit		kəcoh	k ə c o h	k I T o h	K V K V H	K E C U H	6	3399
1504	Khmer-Surin	kxm	to spit		tʨiaɁ	t ʨ ia Ɂ	t C i 7	T K V H	T C I H	9	3402
1505	Khmer-Standard	khm	to spit		sdoh	s d o h	s d o h	S T V H	S T U H	3	3398
1506	Mon	mnw	to spit		cʰɔh	cʰ ɔ h	T o h	K V H	C U H	6	3399
1507	Vietnamese	vie	to spit		nhổ	n h o	n h o	N H V	N H U	21	3397
1508	Bahnar-Golar	bdq	to stand		ʔjuːŋ	ʔ j uː ŋ	7 y u N	H J V N	H J Y N	3	3412
1509	Bahnar-Kontum	bdq	to stand		ʔjuːŋ	ʔ j uː ŋ	7 y u N	H J V N	H J Y N	3	3412
1510	Bahnar-Pleiku	bdq	to stand		ʔjuːŋ	ʔ j uː ŋ	7 y u N	H J V N	H J Y N	3	3412
1511	Bru-Talan	oog	to stand		təjəŋ	t ə j ə ŋ	t I y I N	T V J V N	T E J E N	3	3412
1512	Bru-Ubon	bru	to stand		təjɨŋ	t ə j ɨ ŋ	t I y I N	T V J V N	T E J I N	3	3412
1513	Khmer-Surin	kxm	to stand		cʰuər	cʰ uə r	T u r	K V R	C Y R	9	3416
1514	Khmer-Standard	khm	to stand		cʰɔː	cʰ ɔː	T o	K V	C U	9	3416
1515	Mon	mnw	to stand		hətaɔ	h ə t aɔ	h I t a	H V T V	H E T A	8	3415
1516	Vietnamese	vie	to stand		đứng	đ u n g	8 u n g	T V N K	D Y N K	20	3410
1517	Bahnar-Golar	bdq	to steal		tətoːŋ	t ə t oː ŋ	t I t o N	T V T V N	T E T U N	3	3430
1518	Bahnar-Kontum	bdq	to steal		tətoːŋ	t ə t oː ŋ	t I t o N	T V T V N	T E T U N	3	3430
1519	Bahnar-Pleiku	bdq	to steal		tətoːŋ	t ə t oː ŋ	t I t o N	T V T V N	T E T U N	3	3430
1520	Bru-Talan	oog	to steal		toːjʔ	t oː j ʔ	t o y 7	T V J H	T U J H	8	3436
1521	Bru-Ubon	bru	to steal		tṳəc	t ṳə c	t i T	T V K	T Y C	8	3436
1522	Khmer-Surin	kxm	to steal		lʊːc	l ʊː c	l u T	R V K	L Y C	12	3418
1523	Khmer-Standard	khm	to steal		luəc	l uə c	l u T	R V K	L Y C	12	3418
1524	Mon	mnw	to steal		klɔt	k l ɔ t	k l o t	K R V T	K L U T	12	3418
1525	Vietnamese	vie	to steal		trộm	t r o m	t r o m	T R V M	T R U M	30	3431
1526	Bahnar-Golar	bdq	to tie/bind		coʔ	c o ʔ	T o 7	K V H	C U H	7	3466
1527	Bahnar-Kontum	bdq	to tie/bind		coʔ	c o ʔ	T o 7	K V H	C U H	7	3466
1528	Bahnar-Pleiku	bdq	to tie/bind		coʔ	c o ʔ	T o 7	K V H	C U H	7	3466
1529	Bru-Talan	oog	to tie/bind		riʔ	r i ʔ	r i 7	R V H	R I H	4	3458
1530	Bru-Ubon	bru	to tie/bind		sat	s a t	s a t	S V T	S A T	11	3438
1531	Khmer-Surin	kxm	to tie/bind		rɯt	r ɯ t	r u t	R V T	R I T	4	3458
1532	Khmer-Standard	khm	to tie/bind		cɑːŋ	c ɑː ŋ	T o N	K V N	C A N	24	3448
1533	Mon	mnw	to tie/bind		tèak	t èa k	t e k	T V K	T E K	27	3450
1534	Vietnamese	vie	to tie/bind		cột	c o t	T o t	K V T	C U T	44	3462
1535	Bahnar-Golar	bdq	to urinate/urine		ʔnoːm	ʔ n oː m	7 n o m	H N V M	H N U M	1	3469
1536	Bahnar-Kontum	bdq	to urinate/urine		ʔnoːm	ʔ n oː m	7 n o m	H N V M	H N U M	1	3469
1537	Bahnar-Pleiku	bdq	to urinate/urine		ʔnoːm	ʔ n oː m	7 n o m	H N V M	H N U M	1	3469
1538	Bru-Talan	oog	to urinate/urine		pɔˀɔʔprəːm	pɔˀɔʔ prəːm	p p	P P	P P	4	3480
1539	Bru-Ubon	bru	to urinate/urine		krʉa	k r ʉa	k r I	K R V	K R Y	5	3481
1540	Khmer-Surin	kxm	to urinate/urine		nʊːm	n ʊː m	n u m	N V M	N Y M	1	3469
1541	Khmer-Standard	khm	to urinate/urine		noum	n ou m	n o m	N V M	N U M	1	3469
1542	Mon	mnw	to urinate/urine		nɔm	n ɔ m	n o m	N V M	N U M	1	3469
1543	Vietnamese	vie	to urinate/urine		đái	đ ái	8 a	T V	D A	20	3478
1544	Bahnar-Golar	bdq	to vomit		hak	h a k	h a k	H V K	H A K	2	3493
1545	Bahnar-Kontum	bdq	to vomit		hak	h a k	h a k	H V K	H A K	2	3493
1546	Bahnar-Pleiku	bdq	to vomit		hak	h a k	h a k	H V K	H A K	2	3493
1547	Bru-Talan	oog	to vomit		kləʔ	k l ə ʔ	k l I 7	K R V H	K L E H	8	3502
1548	Bru-Ubon	bru	to vomit		kətaː	k ə t aː	k I t a	K V T V	K E T A	3	3498
1549	Khmer-Surin	kxm	to vomit		kɁʊːt	k Ɂ ʊː t	k 7 u t	K H V T	K H Y T	7	3501
1550	Khmer-Standard	khm	to vomit		kʔuət	k ʔ uə t	k 7 u t	K H V T	K H Y T	7	3501
1551	Mon	mnw	to vomit		haʔɔʔ	h a ʔ ɔ ʔ	h a 7 o 7	H V H V H	H A H U H	10	3486
1552	Vietnamese	vie	to vomit		mửa	m u a	m u a	M V V	M Y A	24	3497
1553	Bahnar-Golar	bdq	to wake up/awaken		həɗər	h ə ɗ ə r	h I d I r	H V T V R	H E T E R	7	3538
1554	Bahnar-Pleiku	bdq	to wake up/awaken		həʔnər	h ə ʔ n ə r	h I 7 n I r	H V H N V R	H E H N E R	7	3538
1555	Bru-Talan	oog	to wake up/awaken		pəkəˀəjh	p ə k əˀə j h	p I k I y h	P V K V J H	P E K E J H	21	3514
1556	Bru-Ubon	bru	to wake up/awaken		ʔaːma̤s	ʔ aː m a̤ s	7 a m a s	H V M V S	H A M A S	22	3515
1557	Khmer-Surin	kxm	to wake up/awaken		taːn	t aː n	t a n	T V N	T A N	27	3520
1558	Khmer-Standard	khm	to wake up/awaken		taən	t aə n	t a n	T V N	T A N	27	3520
1559	Mon	mnw	to wake up/awaken		ŋùh	ŋ u h	N u h	N V H	N Y H	34	3525
1560	Vietnamese	vie	to wake up/awaken		thức	t h u c	t h u T	T H V K	T H Y C	56	3535
1561	Bahnar-Golar	bdq	to walk/go		jaːk	j aː k	y a k	J V K	J A K	8	3582
1562	Bahnar-Pleiku	bdq	to walk/go		jaːk	j aː k	y a k	J V K	J A K	8	3582
1563	Bru-Talan	oog	to walk/go		həndaˀaw	h ə n d aˀa w	h I n d a w	H V N T V W	H E N T A W	20	3549
1564	Bru-Ubon	bru	to walk/go		təjah	t ə j a h	t I y a h	T V J V H	T E J A H	19	3548
1565	Khmer-Surin	kxm	to walk/go		dʌːr	d ʌː r	d o r	T V R	T E R	28	3556
1566	Khmer-Standard	khm	to walk/go		daə	d aə	d a	T V	T A	28	3556
1567	Mon	mnw	to walk/go		kwac	k w a c	k w a T	K W V K	K W A C	37	3562
1568	Vietnamese	vie	to walk/go		đibộ	đi bộ	8 b	T P	D P	62	3579
1569	Bahnar-Golar	bdq	to wash -hands, things		ʔɲaːw	ʔ ɲ aː w	7 H a w	H N V W	H N A W	9	3602
1570	Bahnar-Kontum	bdq	to wash -hands, things		ʔɲaːw	ʔ ɲ aː w	7 H a w	H N V W	H N A W	9	3602
1571	Bahnar-Pleiku	bdq	to wash -hands, things		ʔɲaːw	ʔ ɲ aː w	7 H a w	H N V W	H N A W	9	3602
1572	Bru-Talan	oog	to wash -hands, things		raˀaw	r aˀa w	r a w	R V W	R A W	8	3601
1573	Bru-Ubon	bru	to wash -hands, things		ʔaːriaw	ʔ aː r ia w	7 a r i w	H V R V W	H A R I W	8	3601
1574	Khmer-Surin	kxm	to wash -hands, things		liːaŋ	l iːa ŋ	l i N	R V N	L I N	17	3589
1575	Khmer-Standard	khm	to wash -hands, things		liəŋ	l iə ŋ	l i N	R V N	L I N	17	3589
1576	Mon	mnw	to wash -hands, things		krat	k r a t	k r a t	K R V T	K R A T	26	3595
1577	Vietnamese	vie	to wash -hands, things		rửa	r u a	r u a	R V V	R Y A	8	3601
1578	Bahnar-Golar	bdq	to weave		taːɲ	t aː ɲ	t a H	T V N	T A N	2	3605
1579	Bahnar-Kontum	bdq	to weave		taːɲ	t aː ɲ	t a H	T V N	T A N	2	3605
1580	Bahnar-Pleiku	bdq	to weave		taːɲ	t aː ɲ	t a H	T V N	T A N	2	3605
1581	Bru-Talan	oog	to weave		taˀan	t aˀa n	t a n	T V N	T A N	2	3605
1582	Bru-Ubon	bru	to weave		təntaːn	t ə n t aː n	t I n t a n	T V N T V N	T E N T A N	2	3605
1583	Khmer-Surin	kxm	to weave		tbaːɲ	t b aː ɲ	t b a H	T P V N	T P A N	2	3605
1584	Khmer-Standard	khm	to weave		tbaːɲ	t b aː ɲ	t b a H	T P V N	T P A N	2	3605
1585	Mon	mnw	to weave		tɑc	t ɑ c	t o T	T V K	T A C	2	3605
1586	Vietnamese	vie	to weave		đan	đ a n	8 a n	T V N	D A N	2	3605
1587	Bahnar-Golar	bdq	tongue		rəpjɛt	r ə p j ɛ t	r I p y E t	R V P J V T	R E P J E T	3	3609
1588	Bahnar-Kontum	bdq	tongue		rəpjɛt	r ə p j ɛ t	r I p y E t	R V P J V T	R E P J E T	3	3609
1589	Bahnar-Pleiku	bdq	tongue		rəpjɛt	r ə p j ɛ t	r I p y E t	R V P J V T	R E P J E T	3	3609
1590	Bru-Talan	oog	tongue		ntaˀaʔ	n t aˀa ʔ	n t a 7	N T V H	N T A H	1	3607
1591	Bru-Ubon	bru	tongue		le̤as	l e̤a s	l e s	R V S	L E S	2	3608
1592	Khmer-Surin	kxm	tongue		naːt	n aː t	n a t	N V T	N A T	4	3610
1593	Khmer-Standard	khm	tongue		ʔɑndaət	ʔ ɑ n d aə t	7 o n d a t	H V N T V T	H A N T A T	4	3610
1594	Mon	mnw	tongue		katəc	k a t ə c	k a t I T	K V T V K	K A T E C	1	3607
1595	Vietnamese	vie	tongue		lưỡi	l u õ i	l u o i	R V V V	L Y U I	2	3608
1596	Bahnar-Golar	bdq	tooth		sənɛɲ	s ə n ɛ ɲ	s I n E H	S V N V N	S E N E N	5	3620
1597	Bahnar-Kontum	bdq	tooth		sənɛɲ	s ə n ɛ ɲ	s I n E H	S V N V N	S E N E N	5	3620
